config_hash,baseline,hyper,channel,horizon_step_s,mse,rmse,mae,skill_vs_persistence,n_valid
ccb0d9c59f9b664f,ar,16,F_L,0.7,258365,508.296,326.106,0.1165,49670
ccb0d9c59f9b664f,ar,16,F_L,0.8,280390,529.519,326.106,0.1255,49670
ccb0d9c59f9b664f,ar,16,F_L,0.9,301123,548.747,326.106,0.1340,49670
ccb0d9c59f9b664f,ar,16,F_L,1.0,319890,565.588,326.106,0.1425,49670
ccb0d9c59f9b664f,ar,16,CoPx_L,0.1,0.000291818,0.0170827,0.0313429,0.3060,46647
ccb0d9c59f9b664f,ar,16,CoPx_L,0.2,0.000969415,0.0311354,0.0313429,0.1551,46647
ccb0d9c59f9b664f,ar,16,CoPx_L,0.3,0.00147188,0.038365,0.0313429,0.1444,46647
ccb0d9c59f9b664f,ar,16,CoPx_L,0.4,0.00179387,0.0423541,0.0313429,0.1510,46647
ccb0d9c59f9b664f,ar,16,CoPx_L,0.5,0.00201223,0.0448579,0.0313429,0.1555,46647
ccb0d9c59f9b664f,ar,16,CoPx_L,0.6,0.002183,0.0467226,0.0313429,0.1596,46647
ccb0d9c59f9b664f,ar,16,CoPx_L,0.7,0.00234115,0.0483855,0.0313429,0.1605,46647
ccb0d9c59f9b664f,ar,16,CoPx_L,0.8,0.00248016,0.0498012,0.0313429,0.1607,46647
ccb0d9c59f9b664f,ar,16,CoPx_L,0.9,0.00261347,0.0511221,0.0313429,0.1592,46647
ccb0d9c59f9b664f,ar,16,CoPx_L,1.0,0.00273658,0.0523123,0.0313429,0.1561,46647
ccb0d9c59f9b664f,ar,16,CoPy_L,0.1,0.000265392,0.0162909,0.0310078,0.2876,46647
ccb0d9c59f9b664f,ar,16,CoPy_L,0.2,0.000880158,0.0296675,0.0310078,0.1351,46647
ccb0d9c59f9b664f,ar,16,CoPy_L,0.3,0.00134714,0.0367034,0.0310078,0.1210,46647
ccb0d9c59f9b664f,ar,16,CoPy_L,0.4,0.00166701,0.0408291,0.0310078,0.1213,46647
ccb0d9c59f9b664f,ar,16,CoPy_L,0.5,0.00189458,0.0435267,0.0310078,0.1256,46647
ccb0d9c59f9b664f,ar,16,CoPy_L,0.6,0.00208736,0.0456876,0.0310078,0.1289,46647
ccb0d9c59f9b664f,ar,16,CoPy_L,0.7,0.00226686,0.0476116,0.0310078,0.1313,46647
ccb0d9c59f9b664f,ar,16,CoPy_L,0.8,0.00244075,0.0494039,0.0310078,0.1358,46647
ccb0d9c59f9b664f,ar,16,CoPy_L,0.9,0.00261322,0.0511197,0.0310078,0.1434,46647
ccb0d9c59f9b664f,ar,16,CoPy_L,1.0,0.00278609,0.0527834,0.0310078,0.1489,46647
ccb0d9c59f9b664f,ar,16,F_R,0.1,78667.5,280.477,687.833,0.4150,49670
ccb0d9c59f9b664f,ar,16,F_R,0.2,313699,560.088,687.833,0.2561,49670
ccb0d9c59f9b664f,ar,16,F_R,0.3,590022,768.129,687.833,0.2023,49670
ccb0d9c59f9b664f,ar,16,F_R,0.4,848175,920.964,687.833,0.1808,49670
ccb0d9c59f9b664f,ar,16,F_R,0.5,1.05535e+06,1027.3,687.833,0.1756,49670
ccb0d9c59f9b664f,ar,16,F_R,0.6,1.20755e+06,1098.89,687.833,0.1767,49670
ccb0d9c59f9b664f,ar,16,F_R,0.7,1.31668e+06,1147.47,687.833,0.1772,49670
ccb0d9c59f9b664f,ar,16,F_R,0.8,1.39341e+06,1180.43,687.833,0.1760,49670
ccb0d9c59f9b664f,ar,16,F_R,0.9,1.44765e+06,1203.18,687.833,0.1754,49670
ccb0d9c59f9b664f,ar,16,F_R,1.0,1.49146e+06,1221.25,687.833,0.1769,49670
ccb0d9c59f9b664f,ar,16,CoPx_R,0.1,0.000448077,0.0211678,0.0326926,0.2831,47205
ccb0d9c59f9b664f,ar,16,CoPx_R,0.2,0.00136575,0.036956,0.0326926,0.1690,47205
ccb0d9c59f9b664f,ar,16,CoPx_R,0.3,0.00191451,0.0437552,0.0326926,0.1936,47205
ccb0d9c59f9b664f,ar,16,CoPx_R,0.4,0.00223883,0.0473163,0.0326926,0.2220,47205
ccb0d9c59f9b664f,ar,16,CoPx_R,0.5,0.00244574,0.0494544,0.0326926,0.2303,47205
ccb0d9c59f9b664f,ar,16,CoPx_R,0.6,0.00255716,0.0505683,0.0326926,0.2313,47205
ccb0d9c59f9b664f,ar,16,CoPx_R,0.7,0.00265381,0.0515152,0.0326926,0.2363,47205
ccb0d9c59f9b664f,ar,16,CoPx_R,0.8,0.00275366,0.0524753,0.0326926,0.2468,47205
ccb0d9c59f9b664f,ar,16,CoPx_R,0.9,0.00284616,0.0533494,0.0326926,0.2529,47205
